property	count	property;label	percentage
P6366	4	'Microsoft Academic ID'@en	0.04%
P57	4	'director'@en	0.04%
P443	4	'pronunciation audio'@en	0.04%
P3553	4	'Zhihu topic ID'@en	0.04%
P3300	4	'musical conductor'@en	0.04%
P3280	4	'BAnQ author ID'@en	0.04%
P2924	4	'Great Russian Encyclopedia Online ID'@en	0.04%
P2754	4	'production date'@en	0.04%
P2291	4	'charted in'@en	0.04%
P1535	4	'used by'@en	0.04%
P1292	4	'DNB editions'@en	0.04%
P1071	4	'location of creation'@en	0.04%
P8432	3	'Österreichisches Musiklexikon Online ID'@en	0.03%
P8201	3	'ACUM work ID'@en	0.03%
P7704	3	'Europeana entity'@en	0.03%
P724	3	'Internet Archive ID'@en	0.03%
P7081	3	'quotation or excerpt'@en	0.03%
P6718	3	'music video'@en	0.03%
P6412	3	'Gran Enciclopèdia de la Música ID'@en	0.03%
P625	3	'coordinate location'@en	0.03%
P58	3	'screenwriter'@en	0.03%
P5707	3	'samples from work'@en	0.03%
P5262	3	'Les Enfoirés song ID'@en	0.03%
P5063	3	'Interlingual Index ID'@en	0.03%
P4932	3	'Todotango.com work ID'@en	0.03%
P3893	3	'public domain date'@en	0.03%
P3569	3	'Cultureel Woordenboek ID'@en	0.03%
P3352	3	'musipedia tune ID'@en	0.03%
P2603	3	'Kinopoisk film ID'@en	0.03%
P2596	3	'culture'@en	0.03%
P2408	3	'set in period'@en	0.03%
P2336	3	'Swedish Film Database soundtrack ID'@en	0.03%
P1545	3	'series ordinal'@en	0.03%
P1274	3	'ISFDB title ID'@en	0.03%
P1001	3	'applies to jurisdiction'@en	0.03%
P9965	2	'Musik-Sammler.de artist ID'@en	0.02%
P9182	2	'uta-net.com song ID'@en	0.02%
P8814	2	'WordNet 3.1 Synset ID'@en	0.02%
P854	2	'reference URL'@en	0.02%
P8371	2	'references work, tradition or theory'@en	0.02%
P7859	2	'WorldCat Identities ID'@en	0.02%
P6900	2	'NicoNicoPedia ID'@en	0.02%
P6883	2	'LilyPond notation'@en	0.02%
P6670	2	'musical quotation or excerpt'@en	0.02%
P658	2	'tracklist'@en	0.02%
P607	2	'conflict'@en	0.02%
P580	2	'start time'@en	0.02%
P547	2	'commemorates'@en	0.02%
P5331	2	'OCLC work ID'@en	0.02%
P5123	2	'Swedish Literature Bank edition'@en	0.02%
P5047	2	'Rosetta Code ID'@en	0.02%
P4608	2	'scenographer'@en	0.02%
P4077	2	'Pizmonet ID'@en	0.02%
P4071	2	'Zemereshet artist ID'@en	0.02%
P3827	2	'JSTOR topic ID'@en	0.02%
P3259	2	'intangible cultural heritage status'@en	0.02%
P3241	2	'Catholic Encyclopedia ID'@en	0.02%
P3222	2	'NE.se ID'@en	0.02%
P3194	2	'INA video ID'@en	0.02%
P2515	2	'costume designer'@en	0.02%
P2281	2	'Apple Music album ID (U.S. version)'@en	0.02%
P1813	2	'short name'@en	0.02%
P1801	2	'commemorative plaque image'@en	0.02%
P131	2	'located in the administrative territorial entity'@en	0.02%
P1219	2	'Internet Broadway Database show ID'@en	0.02%
P1142	2	'political ideology'@en	0.02%
P110	2	'illustrator'@en	0.02%
P106	2	'occupation'@en	0.02%
P998	1	'Curlie ID'@en	0.01%
P996	1	'document file on Wikimedia Commons'@en	0.01%
P9629	1	'Armeniapedia ID'@en	0.01%
P9281	1	'Encyclopedia of Greater Philadelphia ID'@en	0.01%
P902	1	'HDS ID'@en	0.01%
P898	1	'IPA transcription'@en	0.01%
P8885	1	'Namuwiki ID'@en	0.01%
P8687	1	'social media followers'@en	0.01%
P828	1	'has cause'@en	0.01%
P8236	1	'LiederNet song cycle ID'@en	0.01%
P8156	1	'NKAA ID'@en	0.01%
P7982	1	'Hrvatska enciklopedija ID'@en	0.01%
P7772	1	'Atlas Obscura identifier'@en	0.01%
P7502	1	'Golden ID'@en	0.01%
P750	1	'distributed by'@en	0.01%
P7357	1	'Diccionari de la Literatura Catalana ID'@en	0.01%
P735	1	'given name'@en	0.01%
P734	1	'family name'@en	0.01%
P7334	1	'Vudu video ID'@en	0.01%
P7305	1	'Online PWN Encyclopedia ID'@en	0.01%
P7161	1	'Kinsky–Halm Catalogue'@en	0.01%
P710	1	'participant'@en	0.01%
P7039	1	'National Library of Iceland ID'@en	0.01%
P7033	1	'Australian Educational Vocabulary ID'@en	0.01%
P7024	1	'Flemish Public Libraries ID'@en	0.01%
P6868	1	'Hoopla artist ID'@en	0.01%
P6821	1	'Uppsala University Alvin ID'@en	0.01%
P6520	1	'Lokalhistoriewiki.no ID'@en	0.01%
P6431	1	'Hymnary tune ID'@en	0.01%
P6359	1	'Crew United title ID'@en	0.01%
P6291	1	'advertises'@en	0.01%
P6217	1	'Genius album ID'@en	0.01%
P6145	1	'Academy Awards Database film ID'@en	0.01%
P6127	1	'Letterboxd film ID'@en	0.01%
P6122	1	'MusicNotes song ID'@en	0.01%
P6116	1	'chord progression'@en	0.01%
P6111	1	'MusicNotes product ID'@en	0.01%
P6104	1	'maintained by WikiProject'@en	0.01%
P6079	1	'Discogs track ID'@en	0.01%
P5844	1	'Treccani Vocabulary ID'@en	0.01%
P582	1	'end time'@en	0.01%
P5749	1	'Amazon Standard Identification Number'@en	0.01%
P5737	1	'Chinese Moegirlpedia ID'@en	0.01%
P570	1	'date of death'@en	0.01%
P5587	1	'Libris-URI'@en	0.01%
P5504	1	'RISM ID'@en	0.01%
P5337	1	'Google News topics ID'@en	0.01%
P5160	1	'Thesaurus for Graphic Materials ID'@en	0.01%
P508	1	'BNCF Thesaurus ID'@en	0.01%
P5072	1	'presented in'@en	0.01%
P5019	1	'Brockhaus Enzyklopädie online ID'@en	0.01%
P5017	1	'last update'@en	0.01%
P4953	1	'Library of Congress Genre/Form Terms ID'@en	0.01%
P4947	1	'TMDb movie ID'@en	0.01%
P4903	1	'New Georgia Encyclopedia ID'@en	0.01%
P4854	1	'Uppslagsverket Finland ID'@en	0.01%
P478	1	'volume'@en	0.01%
P4746	1	'Elhuyar ZTH ID'@en	0.01%
P4607	1	'Swedish Musical Heritage ID'@en	0.01%
P4578	1	'Tidal track ID'@en	0.01%
P4549	1	'ARLIMA ID'@en	0.01%
P4457	1	'DAHR artist ID'@en	0.01%
P444	1	'review score'@en	0.01%
P4215	1	'nLab ID'@en	0.01%
P4104	1	'Carnegie Hall agent ID'@en	0.01%
P3838	1	'Tab4u song ID'@en	0.01%
P349	1	'National Diet Library ID'@en	0.01%
P3430	1	'SNAC ARK ID'@en	0.01%
P3368	1	'Prabook ID'@en	0.01%
P3365	1	'Treccani ID'@en	0.01%
P3155	1	'Runeberg book ID'@en	0.01%
P2977	1	'LBT person ID'@en	0.01%
P2959	1	'permanent duplicated item'@en	0.01%
P2888	1	'exact match'@en	0.01%
P2868	1	'subject has role'@en	0.01%
P2723	1	'Deezer album ID'@en	0.01%
P272	1	'production company'@en	0.01%
P27	1	'country of citizenship'@en	0.01%
P2675	1	'reply to'@en	0.01%
P2664	1	'units sold'@en	0.01%
P2554	1	'production designer'@en	0.01%
P2551	1	'used metre'@en	0.01%
P2550	1	'recording or performance of'@en	0.01%
P2441	1	'literal translation'@en	0.01%
P242	1	'locator map image'@en	0.01%
P2401	1	'Six Degrees of Francis Bacon ID'@en	0.01%
P2364	1	'production code'@en	0.01%
P2341	1	'indigenous to'@en	0.01%
P2279	1	'ambitus'@en	0.01%
P2163	1	'FAST ID'@en	0.01%
P21	1	'sex or gender'@en	0.01%
P2013	1	'Facebook ID'@en	0.01%
P2002	1	'Twitter username'@en	0.01%
P2001	1	'Revised Romanization'@en	0.01%
P1942	1	'McCune-Reischauer romanization'@en	0.01%
P1902	1	'Spotify artist ID'@en	0.01%
P1844	1	'HathiTrust ID'@en	0.01%
P1823	1	'BAnQ work ID'@en	0.01%
P1766	1	'place name sign'@en	0.01%
P161	1	'cast member'@en	0.01%
P1566	1	'GeoNames ID'@en	0.01%
P1448	1	'official name'@en	0.01%
P1435	1	'heritage designation'@en	0.01%
P1434	1	'takes place in fictional universe'@en	0.01%
P1415	1	'Oxford Dictionary of National Biography ID'@en	0.01%
P1368	1	'LNB ID'@en	0.01%
P1366	1	'replaced by'@en	0.01%
P1365	1	'replaces'@en	0.01%
P1353	1	'original spelling'@en	0.01%
P1315	1	'NLA Trove people ID'@en	0.01%
P1303	1	'instrument'@en	0.01%
P1269	1	'facet of'@en	0.01%
P1259	1	'coordinates of the point of view'@en	0.01%
P1256	1	'Iconclass notation'@en	0.01%
P1242	1	'Theatricalia play ID'@en	0.01%
P1225	1	'U.S. National Archives Identifier'@en	0.01%
P1207	1	'NUKAT ID'@en	0.01%
P1144	1	'Library of Congress Control Number (LCCN) (bibliographic)'@en	0.01%
P1113	1	'number of episodes'@en	0.01%
P10187	1	'JSTOR artwork ID'@en	0.01%
P10175	1	'Digital Index of Middle English Verse ID'@en	0.01%
P1015	1	'NORAF ID'@en	0.01%
