domain	property	range	count
Q178588	P373	string	1
Q193395	P373	string	1
Q234870	P373	string	1
Q394970	P373	string	1
Q5398426	P373	string	1
Q11424	P3808	external-id	1
Q482994	P3808	external-id	1
Q482994	P3827	external-id	4
Q482994	P3844	external-id	1
Q11424	P3851	external-id	1
Q482994	P3851	external-id	1
Q482994	P3854	external-id	1
Q482994	P3929	external-id	2
Q482994	P3962	external-id	72
Q482994	P4013	external-id	1
Q482994	P4027	external-id	39
Q482994	P4077	external-id	1
Q482994	P409	external-id	1
Q482994	P4199	external-id	110
Q215380	P4208	external-id	1
Q482994	P4208	external-id	1
Q11424	P4276	external-id	1
Q482994	P4276	external-id	1
Q11424	P4277	external-id	1
Q482994	P4277	external-id	1
Q482994	P4300	external-id	1135
Q1573906	P4300	external-id	1
Q17518461	P4300	external-id	1
Q1997853	P4300	external-id	1
Q2031291	P4300	external-id	1
Q482994	P434	external-id	3
Q215380	P434	external-id	1
Q482994	P4342	external-id	1
Q482994	P435	external-id	83
Q134556	P435	external-id	6
Q105543609	P435	external-id	2
Q482994	P436	external-id	49031
Q169930	P436	external-id	54
Q10590726	P436	external-id	46
Q11424	P436	external-id	21
Q134556	P436	external-id	18
Q394970	P436	external-id	18
Q1997853	P436	external-id	17
Q5151485	P436	external-id	9
Q1261214	P436	external-id	8
Q15116915	P436	external-id	8
Q368281	P436	external-id	7
Q430525	P436	external-id	6
Q105543609	P436	external-id	5
Q4274081	P436	external-id	4
Q59557805	P436	external-id	4
Q2073093	P436	external-id	3
Q215380	P436	external-id	3
Q2619673	P436	external-id	3
Q105420	P436	external-id	2
Q1173065	P436	external-id	2
Q1295240	P436	external-id	2
Q17518461	P436	external-id	2
Q1850936	P436	external-id	2
Q2031291	P436	external-id	2
Q208569	P436	external-id	2
Q220935	P436	external-id	2
Q7366	P436	external-id	2
Q107391427	P436	external-id	1
Q131765	P436	external-id	1
Q1368086	P436	external-id	1
Q1573906	P436	external-id	1
Q178588	P436	external-id	1
Q1800833	P436	external-id	1
Q182832	P436	external-id	1
Q193395	P436	external-id	1
Q21997607	P436	external-id	1
Q234870	P436	external-id	1
Q24862	P436	external-id	1
Q2565300	P436	external-id	1
Q2707384	P436	external-id	1
Q2712714	P436	external-id	1
Q2831984	P436	external-id	1
Q30592710	P436	external-id	1
Q3331189	P436	external-id	1
Q47461344	P436	external-id	1
Q559618	P436	external-id	1
Q57976524	P436	external-id	1
Q717040	P436	external-id	1
Q482994	P443	commonsMedia	2
Q11424	P4438	external-id	1
Q482994	P4438	external-id	1
Q482994	P444	string	722
Q10590726	P444	string	2
Q2712714	P444	string	1
Q430525	P444	string	1
Q482994	P4518	external-id	35
Q482994	P4527	external-id	1
Q482994	P4529	external-id	28
Q11424	P4529	external-id	6
Q10590726	P4529	external-id	4
Q1261214	P4529	external-id	2
Q15116915	P4529	external-id	2
Q24862	P4529	external-id	1
Q430525	P4529	external-id	1
Q482994	P4577	external-id	81
Q482994	P4665	external-id	2
Q482994	P4748	external-id	11
Q482994	P4765	url	1
Q482994	P478	string	2
Q482994	P4783	external-id	1
Q482994	P480	external-id	10
Q11424	P480	external-id	6
Q10590726	P480	external-id	3
Q482994	P4806	external-id	1
Q482994	P4839	external-id	117
Q11424	P4933	external-id	1
Q482994	P4933	external-id	1
Q482994	P4947	external-id	40
Q11424	P4947	external-id	17
Q10590726	P4947	external-id	15
Q1261214	P4947	external-id	6
Q15116915	P4947	external-id	6
Q430525	P4947	external-id	3
Q24862	P4947	external-id	1
Q506240	P4947	external-id	1
Q482994	P4965	external-id	1
Q482994	P4983	external-id	9
Q11424	P4983	external-id	1
Q1261214	P4983	external-id	1
Q131765	P4983	external-id	1
Q15116915	P4983	external-id	1
Q1850936	P4983	external-id	1
Q482994	P5027	quantity	5
Q11424	P5032	external-id	2
Q482994	P5032	external-id	2
Q482994	P5144	external-id	38
Q482994	P5153	external-id	37
Q482994	P5171	external-id	23
Q482994	P5241	external-id	1
Q482994	P528	string	13
Q2712714	P528	string	1
Q482994	P5331	external-id	3
Q482994	P5395	external-id	1
Q482994	P5485	external-id	1
Q482994	P5680	external-id	10
Q482994	P569	time	1
Q482994	P571	time	85
Q215380	P571	time	3
Q482994	P5749	external-id	7850
Q10590726	P5749	external-id	10
Q169930	P5749	external-id	4
Q1997853	P5749	external-id	4
Q394970	P5749	external-id	4
Q2031291	P5749	external-id	3
Q11424	P5749	external-id	2
Q1261214	P5749	external-id	1
Q134556	P5749	external-id	1
Q15116915	P5749	external-id	1
Q17518461	P5749	external-id	1
